float,datetime
amount,date
400.0,2010-01-07
600.0,2010-01-11
400.0,2010-01-14
600.0,2010-01-18
400.0,2010-01-21
600.0,2010-01-25
400.0,2010-01-28
600.0,2010-02-01
400.0,2010-02-04
600.0,2010-02-08
400.0,2010-02-11
600.0,2010-02-15
400.0,2010-02-18
600.0,2010-02-22
400.0,2010-02-25
600.0,2010-03-01
400.0,2010-03-04
600.0,2010-03-08
400.0,2010-03-11
600.0,2010-03-15
400.0,2010-03-18
600.0,2010-03-22
400.0,2010-03-25
600.0,2010-03-29
400.0,2010-04-01
600.0,2010-04-05
400.0,2010-04-08
600.0,2010-04-12
400.0,2010-04-15
600.0,2010-04-19
400.0,2010-04-22
600.0,2010-04-26
400.0,2010-04-29
600.0,2010-05-03
400.0,2010-05-06
600.0,2010-05-10
400.0,2010-05-13
600.0,2010-05-17
400.0,2010-05-20
600.0,2010-05-24
400.0,2010-05-27
600.0,2010-05-31
400.0,2010-06-03
600.0,2010-06-07
400.0,2010-06-10
600.0,2010-06-14
400.0,2010-06-17
600.0,2010-06-21
400.0,2010-06-24
600.0,2010-06-28
400.0,2010-07-01
600.0,2010-07-05
400.0,2010-07-08
600.0,2010-07-12
400.0,2010-07-15
600.0,2010-07-19
400.0,2010-07-22
600.0,2010-07-26
400.0,2010-07-29
600.0,2010-08-02
400.0,2010-08-05
600.0,2010-08-09
400.0,2010-08-12
600.0,2010-08-16
400.0,2010-08-19
600.0,2010-08-23
400.0,2010-08-26
600.0,2010-08-30
400.0,2010-09-02
600.0,2010-09-06
400.0,2010-09-09
600.0,2010-09-13
400.0,2010-09-16
600.0,2010-09-20
400.0,2010-09-23
600.0,2010-09-27
400.0,2010-09-30
600.0,2010-10-04
400.0,2010-10-07
600.0,2010-10-11
400.0,2010-10-14
600.0,2010-10-18
400.0,2010-10-21
600.0,2010-10-25
400.0,2010-10-28
600.0,2010-11-01
400.0,2010-11-04
600.0,2010-11-08
400.0,2010-11-11
600.0,2010-11-15
400.0,2010-11-18
600.0,2010-11-22
400.0,2010-11-25
600.0,2010-11-29
400.0,2010-12-02
600.0,2010-12-06
400.0,2010-12-09
600.0,2010-12-13
400.0,2010-12-16
600.0,2010-12-20
400.0,2010-12-23
600.0,2010-12-27
400.0,2010-12-30
600.0,2011-01-03
400.0,2011-01-06
600.0,2011-01-10
400.0,2011-01-13
600.0,2011-01-17
400.0,2011-01-20
600.0,2011-01-24
400.0,2011-01-27
600.0,2011-01-31
400.0,2011-02-03
600.0,2011-02-07
400.0,2011-02-10
600.0,2011-02-14
400.0,2011-02-17
600.0,2011-02-21
400.0,2011-02-24
600.0,2011-02-28
400.0,2011-03-03
600.0,2011-03-07
400.0,2011-03-10
600.0,2011-03-14
400.0,2011-03-17
600.0,2011-03-21
400.0,2011-03-24
600.0,2011-03-28
400.0,2011-03-31
600.0,2011-04-04
400.0,2011-04-07
600.0,2011-04-11
400.0,2011-04-14
600.0,2011-04-18
400.0,2011-04-21
600.0,2011-04-25
400.0,2011-04-28
600.0,2011-05-02
400.0,2011-05-05
600.0,2011-05-09
400.0,2011-05-12
600.0,2011-05-16
400.0,2011-05-19
600.0,2011-05-23
400.0,2011-05-26
600.0,2011-05-30
400.0,2011-06-02
600.0,2011-06-06
400.0,2011-06-09
600.0,2011-06-13
400.0,2011-06-16
600.0,2011-06-20
400.0,2011-06-23
600.0,2011-06-27
400.0,2011-06-30
600.0,2011-07-04
400.0,2011-07-07
600.0,2011-07-11
400.0,2011-07-14
600.0,2011-07-18
400.0,2011-07-21
600.0,2011-07-25
400.0,2011-07-28
600.0,2011-08-01
400.0,2011-08-04
600.0,2011-08-08
400.0,2011-08-11
600.0,2011-08-15
400.0,2011-08-18
600.0,2011-08-22
400.0,2011-08-25
600.0,2011-08-29
400.0,2011-09-01
600.0,2011-09-05
400.0,2011-09-08
600.0,2011-09-12
400.0,2011-09-15
600.0,2011-09-19
400.0,2011-09-22
600.0,2011-09-26
400.0,2011-09-29
600.0,2011-10-03
400.0,2011-10-06
600.0,2011-10-10
400.0,2011-10-13
600.0,2011-10-17
400.0,2011-10-20
600.0,2011-10-24
400.0,2011-10-27
600.0,2011-10-31
400.0,2011-11-03
600.0,2011-11-07
400.0,2011-11-10
600.0,2011-11-14
400.0,2011-11-17
600.0,2011-11-21
400.0,2011-11-24
600.0,2011-11-28
400.0,2011-12-01
600.0,2011-12-05
400.0,2011-12-08
600.0,2011-12-12
400.0,2011-12-15
600.0,2011-12-19
400.0,2011-12-22
600.0,2011-12-26
400.0,2011-12-29
600.0,2012-01-02
400.0,2012-01-05
600.0,2012-01-09
400.0,2012-01-12
600.0,2012-01-16
400.0,2012-01-19
600.0,2012-01-23
400.0,2012-01-26
600.0,2012-01-30
400.0,2012-02-02
600.0,2012-02-06
400.0,2012-02-09
600.0,2012-02-13
400.0,2012-02-16
600.0,2012-02-20
400.0,2012-02-23
600.0,2012-02-27
400.0,2012-03-01
600.0,2012-03-05
400.0,2012-03-08
600.0,2012-03-12
400.0,2012-03-15
600.0,2012-03-19
400.0,2012-03-22
600.0,2012-03-26
400.0,2012-03-29
600.0,2012-04-02
400.0,2012-04-05
600.0,2012-04-09
400.0,2012-04-12
600.0,2012-04-16
400.0,2012-04-19
600.0,2012-04-23
400.0,2012-04-26
600.0,2012-04-30
400.0,2012-05-03
600.0,2012-05-07
400.0,2012-05-10
600.0,2012-05-14
400.0,2012-05-17
600.0,2012-05-21
400.0,2012-05-24
600.0,2012-05-28
400.0,2012-05-31
600.0,2012-06-04
400.0,2012-06-07
600.0,2012-06-11
400.0,2012-06-14
600.0,2012-06-18
400.0,2012-06-21
600.0,2012-06-25
400.0,2012-06-28
600.0,2012-07-02
400.0,2012-07-05
600.0,2012-07-09
400.0,2012-07-12
600.0,2012-07-16
400.0,2012-07-19
600.0,2012-07-23
400.0,2012-07-26
600.0,2012-07-30
400.0,2012-08-02
600.0,2012-08-06
400.0,2012-08-09
600.0,2012-08-13
400.0,2012-08-16
600.0,2012-08-20
400.0,2012-08-23
600.0,2012-08-27
400.0,2012-08-30
600.0,2012-09-03
400.0,2012-09-06
600.0,2012-09-10
400.0,2012-09-13
600.0,2012-09-17
400.0,2012-09-20
600.0,2012-09-24
400.0,2012-09-27
600.0,2012-10-01
400.0,2012-10-04
600.0,2012-10-08
400.0,2012-10-11
600.0,2012-10-15
400.0,2012-10-18
600.0,2012-10-22
400.0,2012-10-25
600.0,2012-10-29
400.0,2012-11-01
600.0,2012-11-05
400.0,2012-11-08
600.0,2012-11-12
400.0,2012-11-15
600.0,2012-11-19
400.0,2012-11-22
600.0,2012-11-26
400.0,2012-11-29
600.0,2012-12-03
400.0,2012-12-06
600.0,2012-12-10
400.0,2012-12-13
600.0,2012-12-17
400.0,2012-12-20
600.0,2012-12-24
400.0,2012-12-27
600.0,2012-12-31
400.0,2013-01-03
600.0,2013-01-07
400.0,2013-01-10
600.0,2013-01-14
400.0,2013-01-17
600.0,2013-01-21
400.0,2013-01-24
600.0,2013-01-28
400.0,2013-01-31
600.0,2013-02-04
400.0,2013-02-07
600.0,2013-02-11
400.0,2013-02-14
600.0,2013-02-18
400.0,2013-02-21
600.0,2013-02-25
400.0,2013-02-28
600.0,2013-03-04
400.0,2013-03-07
600.0,2013-03-11
400.0,2013-03-14
600.0,2013-03-18
400.0,2013-03-21
600.0,2013-03-25
400.0,2013-03-28
600.0,2013-04-01
400.0,2013-04-04
600.0,2013-04-08
400.0,2013-04-11
600.0,2013-04-15
400.0,2013-04-18
600.0,2013-04-22
400.0,2013-04-25
600.0,2013-04-29
400.0,2013-05-02
600.0,2013-05-06
400.0,2013-05-09
600.0,2013-05-13
400.0,2013-05-16
600.0,2013-05-20
400.0,2013-05-23
600.0,2013-05-27
400.0,2013-05-30
600.0,2013-06-03
400.0,2013-06-06
600.0,2013-06-10
400.0,2013-06-13
600.0,2013-06-17
400.0,2013-06-20
600.0,2013-06-24
400.0,2013-06-27
600.0,2013-07-01
400.0,2013-07-04
600.0,2013-07-08
400.0,2013-07-11
600.0,2013-07-15
400.0,2013-07-18
600.0,2013-07-22
400.0,2013-07-25
600.0,2013-07-29
400.0,2013-08-01
600.0,2013-08-05
400.0,2013-08-08
600.0,2013-08-12
400.0,2013-08-15
600.0,2013-08-19
400.0,2013-08-22
600.0,2013-08-26
400.0,2013-08-29
600.0,2013-09-02
400.0,2013-09-05
600.0,2013-09-09
400.0,2013-09-12
600.0,2013-09-16
400.0,2013-09-19
600.0,2013-09-23
400.0,2013-09-26
600.0,2013-09-30
400.0,2013-10-03
600.0,2013-10-07
400.0,2013-10-10
600.0,2013-10-14
400.0,2013-10-17
600.0,2013-10-21
400.0,2013-10-24
600.0,2013-10-28
400.0,2013-10-31
600.0,2013-11-04
400.0,2013-11-07
600.0,2013-11-11
400.0,2013-11-14
600.0,2013-11-18
400.0,2013-11-21
600.0,2013-11-25
400.0,2013-11-28
600.0,2013-12-02
400.0,2013-12-05
600.0,2013-12-09
400.0,2013-12-12
600.0,2013-12-16
400.0,2013-12-19
600.0,2013-12-23
400.0,2013-12-26
600.0,2013-12-30
400.0,2014-01-02
600.0,2014-01-06
400.0,2014-01-09
600.0,2014-01-13
400.0,2014-01-16
600.0,2014-01-20
400.0,2014-01-23
600.0,2014-01-27
400.0,2014-01-30
600.0,2014-02-03
400.0,2014-02-06
600.0,2014-02-10
400.0,2014-02-13
600.0,2014-02-17
400.0,2014-02-20
600.0,2014-02-24
400.0,2014-02-27
600.0,2014-03-03
400.0,2014-03-06
600.0,2014-03-10
400.0,2014-03-13
600.0,2014-03-17
400.0,2014-03-20
600.0,2014-03-24
400.0,2014-03-27
600.0,2014-03-31
400.0,2014-04-03
